Make_CNN,url,Prices
Apple iPhone 5 64GB,https://recompra.casasbahia.com.br/apple-iphone-5-64gb,114
Apple iPhone 5 16GB,https://recompra.casasbahia.com.br/apple-iphone-5-16gb,106
Apple - iPhone 6S Plus - 64GB,https://recompra.casasbahia.com.br/apple-iphone-6s-plus-64gb,591
Apple - iPhone 6S Plus - 128GB,https://recompra.casasbahia.com.br/apple-iphone-6s-plus-128gb,658
Apple iPhone 6 128GB,https://recompra.casasbahia.com.br/apple-iphone-6-128gb,467
Apple iPhone 5 32GB,https://recompra.casasbahia.com.br/apple-iphone-5-32gb,111
Apple - iPhone - 6S - Plus - 32GB,https://recompra.casasbahia.com.br/apple-iphone-6s-plus-32gb,579
Apple - iPhone 6S - 128GB,https://recompra.casasbahia.com.br/apple-iphone-6s-128gb,551
Apple - iPhone 6S - 64GB,https://recompra.casasbahia.com.br/apple-iphone-6s-64gb,513
Apple iPhone 5c 32GB,https://recompra.casasbahia.com.br/apple-iphone-5c-32gb,96
Apple iPhone 5c 8GB,https://recompra.casasbahia.com.br/apple-iphone-5c-8gb,90
Apple - iPhone SE - 64GB,https://recompra.casasbahia.com.br/apple-iphone-se-64gb,354
Apple iPhone 5c 16GB,https://recompra.casasbahia.com.br/apple-iphone-5c-16gb,91
Samsung - Galaxy S4 - SGH-I537 - Active 16GB,https://recompra.casasbahia.com.br/samsung-galaxy-s4-sgh-i537-active-16gb,29
Motorola - MOTO X - 1ª Geração - XT-1058,https://recompra.casasbahia.com.br/motorola-moto-x-1-gerac-o-xt-1058,74
Apple - iPhone 7 plus - 128GB,https://recompra.casasbahia.com.br/apple-iphone-7-plus-128gb,825
Apple - iPhone 7 plus - 32GB,https://recompra.casasbahia.com.br/apple-iphone-7-plus-32gb,753
Apple - iPhone 7 plus - 256GB,https://recompra.casasbahia.com.br/apple-iphone-7-plus-256gb,900
Samsung - Galaxy S4 Mini - i9192 - 16GB - 3G,https://recompra.casasbahia.com.br/samsung-galaxy-s4-mini-i9192-16gb-3g,29
Samsung - Galaxy S4 Mini - i9195,https://recompra.casasbahia.com.br/samsung-galaxy-s4-mini-i9195,42
Apple iPhone 5s 64GB,https://recompra.casasbahia.com.br/apple-iphone-5s-64gb,229
Apple iPhone 5s 16GB,https://recompra.casasbahia.com.br/apple-iphone-5s-16gb,207
Apple iPhone 6 16GB,https://recompra.casasbahia.com.br/apple-iphone-6-16gb,403
Apple iPhone 5s 32GB,https://recompra.casasbahia.com.br/apple-iphone-5s-32gb,223
Samsung - Galaxy A5 - SM-A510M/DS - A5 2016,https://recompra.casasbahia.com.br/samsung-galaxy-a5-sm-a510m-ds-a5-2016,102
Apple - iPhone - 6S - 32GB,https://recompra.casasbahia.com.br/iphone-6s-32gb,502
Apple - iPhone 6S - 16GB,https://recompra.casasbahia.com.br/apple-iphone-6s-16gb,465
Samsung_-_Galaxy_A5_2017,https://recompra.casasbahia.com.br/samsung-galaxy-a5-2017,214
Apple - iPhone SE - 16GB,https://recompra.casasbahia.com.br/apple-iphone-se-16gb,347
Apple - iPhone 7 - 128GB,https://recompra.casasbahia.com.br/apple-iphone-7-128gb,675
Apple - iPhone 7 - 256GB,https://recompra.casasbahia.com.br/apple-iphone-7-256gb,712
Apple iPhone 6 Plus 128GB,https://recompra.casasbahia.com.br/apple-iphone-6-plus-128gb,533
Apple iPhone 6 Plus 64GB,https://recompra.casasbahia.com.br/apple-iphone-6-plus-64gb,492
Apple iPhone 6 Plus 16GB,https://recompra.casasbahia.com.br/apple-iphone-6-plus-16gb,461
Samsung - Galaxy A5 - SM-A500M/DS,https://recompra.casasbahia.com.br/samsung-galaxy-a5-sm-a500m-ds,102
Apple - iPhone 6S Plus - 16GB,https://recompra.casasbahia.com.br/apple-iphone-6s-plus-16gb,562
Apple iPhone 6 64GB,https://recompra.casasbahia.com.br/apple-iphone-6-64gb,423
Apple - iPhone 7 - 32GB,https://recompra.casasbahia.com.br/apple-iphone-7-32gb,642
Motorola_-_Moto_G4_Dual_TV_XT1626,https://recompra.casasbahia.com.br/motorola-moto-g4-dual-tv-xt1626,148
Motorola_-_Moto_G4_Dual_XT1620,https://recompra.casasbahia.com.br/motorola-moto-g4-dual-xt1620,148
Motorola - Moto X - Force - XT1580,https://recompra.casasbahia.com.br/motorola-moto-x-force-xt1580,320
Motorola - Moto X - Style - XT1572,https://recompra.casasbahia.com.br/motorola-moto-x-style-xt1572,290
Samsung - Galaxy J7 - SM-J700M/DS,https://recompra.casasbahia.com.br/samsung-galaxy-j7-sm-j700m-ds,106
Samsung_-_Galaxy J7_-_2016,https://recompra.casasbahia.com.br/samsung-galaxy-j7-2016,124
Samsung_-_Galaxy_S7,https://recompra.casasbahia.com.br/samsung-galaxy-s7-sm-g930f,340
Samsung_-_Galaxy_S6_Edge_Plus_-_G928,https://recompra.casasbahia.com.br/samsung-galaxy-s6-edge-plus-g928,307
LG - G4 - Beat H736P,https://recompra.casasbahia.com.br/lg-g4-beat-h736p,108
Samsung_-_Galaxy_J7_ -_Prime_Duos ,https://recompra.casasbahia.com.br/samsung-galaxy-j7-prime-duos,124
Samsung - Galaxy J5 - SM-J500M/DS,https://recompra.casasbahia.com.br/samsung-galaxy-j5-sm-j500m-ds,39
Samsung - Galaxy Note 4 - N910C,https://recompra.casasbahia.com.br/samsung-galaxy-note-4-n910c,186
Samsung_-_Galaxy_J5_-_2016,https://recompra.casasbahia.com.br/samsung-galaxy-j5-2016,102
Samsung_-_Galaxy_A7_2017 ,https://recompra.casasbahia.com.br/samsung-galaxy-a7-2017,240
Motorola - Moto X - Play - XT1562 - 16GB,https://recompra.casasbahia.com.br/motorola-moto-x-play-xt1562-16gb,127
Samsung - Galaxy A7 - SM-A710M/DS - A7 2016,https://recompra.casasbahia.com.br/samsung-galaxy-a7-sm-a710m-ds-a7-2016,197
Samsung_-_Galaxy_S7_Edge_-_32GB,https://recompra.casasbahia.com.br/samsung-galaxy-s7-edge-sm-g935f,345
Samsung - Galaxy S5 Mini - G800H,https://recompra.casasbahia.com.br/samsung-galaxy-s5-mini-g800h,84
Samsung - Galaxy A7 - SM-A700F,https://recompra.casasbahia.com.br/samsung-galaxy-a7-sm-a700f,165
Samsung _-_Galaxy_S6_-_G920_S6,https://recompra.casasbahia.com.br/samsung-galaxy-s6-g920,215
Samsung - Galaxy S6 Edge - G925 - 32GB,https://recompra.casasbahia.com.br/samsung-galaxy-s6-edge-g925-32gb,273
Samsung - Galaxy S6 Edge - G925 - 64GB,https://recompra.casasbahia.com.br/samsung-galaxy-s6-edge-g925-64gb,320
